,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
1281,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.469,0.047,0.129,0.038,0.499,0.236,0.193,0.051,0.001,0.907,0.009,0.019,0.09227683,0.330992979,0.38114343,0.19558676,12,11,0.288,0.227,0.097,0.082,0.254,11,16.32,2180,1530,a,236,0.147
1282,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.508,0.059,0.181,0.038,0.518,0.253,0.116,0.145,0.267,0.536,0.01,0.039,0.133266533,0.284569138,0.289579158,0.29258517,15,9,0.317,0.213,0.101,0.09,0.249,12,7.14,1520,1330,b,272,0.219
1283,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.47,0.061,0.186,0.071,0.508,0.25,0.149,0.056,0.002,0.915,0,0,0.121730382,0.474849095,0.266599598,0.136820926,12,10,0.355,0.312,0.1,0.065,0.34,14,16.44,3270,2370,a,274,0.256
1284,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.439,0.101,0.233,0.065,0.476,0.246,0.128,0.269,0.187,0.493,0.006,0.012,0.231231231,0.392392392,0.232232232,0.144144144,13,10,0.336,0.238,0.113,0.096,0.301,11,17.82,1889,2269,b,318,0.173
1285,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.51,0.064,0.123,0.031,0.507,0.212,0.139,0.04,0.061,0.854,0,0.024,0.08989899,0.286868687,0.339393939,0.283838384,11,9,0.272,0.184,0.104,0.069,0.226,11,8.32,2509,1890,b,288,0.213
1286,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.438,0.077,0.284,0.116,0.504,0.283,0.124,0.455,0.059,0.389,0.013,0.08,0.200201207,0.26056338,0.329979879,0.209255533,13,6,0.267,0.147,0.098,0.073,0.2,9,12.75,2160,2500,b,236,0.169
1287,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.511,0.051,0.167,0.072,0.499,0.162,0.123,0.076,0.003,0.833,0.013,0.057,0.056112224,0.146292585,0.270541082,0.527054108,8,6,0.227,0.11,0.067,0.055,0.144,9,8.08,1720,810,b,188,0.139
1288,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.496,0.093,0.255,0.1,0.495,0.196,0.216,0.808,0,0.176,0.032,0.003,0.161257606,0.355983773,0.339756592,0.143002028,10,9,0.235,0.17,0.094,0.098,0.228,10,55.08,4699,5579,a,193,0.127
1289,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.52,0.059,0.19,0.068,0.5,0.239,0.172,0.022,0.021,0.938,0.003,0.002,0.108267717,0.421259843,0.282480315,0.187992126,12,11,0.308,0.238,0.099,0.066,0.268,9,23.61,3379,3320,b,322,0.176
1290,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.492,0.021,0.137,0.081,0.494,0.178,0.292,0.003,0.009,0.979,0.004,0,0.115577889,0.376884422,0.322613065,0.184924623,10,16,0.309,0.158,0.111,0.1,0.282,10,110.45,2289,5579,a,243,0.183
1291,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.474,0.073,0.171,0.076,0.511,0.253,0.163,0.017,0.001,0.966,0.005,0.011,0.128358209,0.449751244,0.253731343,0.168159204,11,11,0.322,0.266,0.09,0.064,0.292,14,9.06,9670,9580,b,280,0.239
1292,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.468,0.051,0.245,0.113,0.515,0.178,0.227,0.116,0.092,0.736,0.009,0.015,0.113095238,0.344246032,0.324404762,0.218253968,9,14,0.269,0.226,0.136,0.084,0.268,11,18.24,2249,1510,a,261,0.165
1293,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.522,0.04,0.147,0.085,0.506,0.181,0.274,0.006,0,0.972,0.006,0,0.160768453,0.337714863,0.298281092,0.203235592,9,13,0.293,0.166,0.106,0.076,0.31,10,45.81,1460,2110,b,247,0.244
1294,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.562,0.038,0.128,0.051,0.506,0.217,0.167,0.053,0.01,0.913,0.005,0.009,0.089374379,0.391261172,0.307845084,0.211519364,11,9,0.287,0.192,0.081,0.065,0.231,12,11.7,1590,1609,a,235,0.222
1295,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.513,0.051,0.157,0.047,0.497,0.233,0.162,0.025,0,0.954,0.005,0.014,0.078867543,0.37512639,0.352881699,0.193124368,10,8,0.374,0.209,0.095,0.06,0.263,12,17.76,3719,2550,b,256,0.177
1296,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.479,0.045,0.192,0.074,0.519,0.255,0.121,0.02,0.187,0.761,0.001,0.001,0.096613546,0.268924303,0.338645418,0.295816733,13,7,0.337,0.202,0.121,0.107,0.299,12,20.16,1849,1430,b,287,0.133
1297,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.451,0.063,0.233,0.091,0.511,0.231,0.196,0.016,0.302,0.664,0.001,0,0.208713273,0.336372847,0.326241135,0.128672746,12,10,0.346,0.153,0.145,0.131,0.343,12,23.93,2789,2779,a,304,0.109
1298,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.384,0.083,0.259,0.096,0.498,0.207,0.192,0.03,0.499,0.47,0.002,0.013,0.198994975,0.36281407,0.292462312,0.145728643,11,12,0.379,0.217,0.156,0.119,0.302,12,31.42,3599,2039,b,291,0.125
1299,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.412,0.038,0.178,0.09,0.41,0.205,0.182,0.11,0.057,0.817,0.012,0.014,0.115884116,0.410589411,0.324675325,0.148851149,9,9,0.302,0.179,0.097,0.049,0.317,9,32.98,5139,2569,a,250,0.213
1300,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.474,0.041,0.141,0.055,0.515,0.214,0.223,0.049,0.141,0.768,0,0.029,0.053916582,0.20854527,0.259409969,0.478128179,10,9,0.242,0.093,0.104,0.06,0.197,12,7.28,970,720,a,183,0.092
1301,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.444,0.072,0.237,0.051,0.495,0.269,0.119,0.063,0.205,0.663,0.025,0.039,0.194360524,0.391742195,0.275931521,0.13796576,14,7,0.346,0.231,0.099,0.071,0.325,12,14.52,3919,3410,a,283,0.178
1302,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.519,0.045,0.143,0.043,0.514,0.214,0.15,0.011,0.037,0.921,0.002,0.002,0.120845921,0.364551863,0.305135952,0.209466264,12,9,0.314,0.188,0.099,0.07,0.249,10,9.61,2040,1260,b,228,0.163
1303,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.559,0.052,0.106,0.061,0.501,0.252,0.16,0.057,0,0.921,0.006,0.014,0.09,0.354,0.343,0.213,11,8,0.293,0.139,0.078,0.058,0.21,13,9.28,3469,9219,a,204,0.181
1304,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.359,0.085,0.339,0.119,0.501,0.27,0.127,0.053,0,0.42,0.45,0.012,0.204545455,0.42687747,0.233201581,0.135375494,14,11,0.358,0.301,0.149,0.094,0.323,11,27.29,5589,2259,b,365,0.103
1305,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.569,0.068,0.216,0.158,0.489,0.261,0.135,0.217,0.015,0.722,0.055,0.009,0.194194194,0.375375375,0.353353353,0.077077077,16,8,0.27,0.175,0.082,0.08,0.241,13,43.85,5949,5839,b,284,0.167
1306,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.519,0.032,0.125,0.072,0.48,0.214,0.194,0.018,0.002,0.957,0,0.001,0.063329928,0.300306435,0.473953013,0.162410623,13,10,0.282,0.247,0.099,0.063,0.281,10,55.08,2600,3150,a,222,0.242
1307,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.478,0.063,0.182,0.068,0.512,0.228,0.165,0.01,0.01,0.959,0.004,0.006,0.151454363,0.425275827,0.285857573,0.137412237,12,12,0.303,0.298,0.111,0.084,0.297,14,10.29,2120,1990,b,309,0.136
1308,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.514,0.047,0.133,0.059,0.527,0.208,0.202,0.024,0.059,0.873,0.002,0.032,0.079079079,0.259259259,0.312312312,0.349349349,9,11,0.283,0.181,0.116,0.085,0.26,13,8.39,1239,820,a,238,0.121
1309,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.41,0.094,0.328,0.192,0.487,0.198,0.242,0.021,0.004,0.91,0.04,0,0.116582915,0.423115578,0.295477387,0.164824121,10,13,0.27,0.221,0.106,0.072,0.265,11,39.36,2889,1630,b,250,0.162
1310,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.374,0.071,0.288,0.086,0.508,0.248,0.157,0.057,0.107,0.827,0,0.002,0.183919598,0.389949749,0.310552764,0.115577889,14,10,0.317,0.296,0.126,0.102,0.352,12,22.74,6340,6339,a,327,0.129
1311,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.461,0.037,0.172,0.088,0.503,0.209,0.237,0.029,0.002,0.95,0.008,0.001,0.074775673,0.375872383,0.398803589,0.150548355,15,10,0.325,0.205,0.097,0.065,0.293,13,110.45,4179,5579,a,203,0.136
1312,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.609,0.034,0.282,0.128,0.508,0.245,0.18,0.138,0.027,0.73,0.079,0.007,0.162401575,0.424212598,0.270669291,0.142716535,11,12,0.324,0.317,0.122,0.083,0.34,10,29.03,9739,2379,a,327,0.217
1313,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.521,0.043,0.136,0.034,0.517,0.204,0.161,0.01,0.003,0.96,0.007,0.009,0.091806515,0.348469891,0.307008885,0.252714709,10,11,0.305,0.191,0.111,0.063,0.216,10,13.3,1419,810,a,234,0.164
1314,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.507,0.046,0.109,0.036,0.516,0.206,0.137,0.044,0.07,0.849,0.007,0.025,0.089178357,0.286573146,0.333667335,0.290581162,10,9,0.256,0.191,0.085,0.074,0.225,11,7.82,2350,2019,a,288,0.219
1315,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.442,0.082,0.218,0.083,0.512,0.24,0.162,0.031,0,0.952,0,0,0.172139303,0.420895522,0.286567164,0.12039801,11,13,0.349,0.333,0.121,0.079,0.38,13,34.27,11609,2889,b,351,0.199
1316,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.425,0.057,0.204,0.058,0.51,0.231,0.167,0.006,0.071,0.89,0.005,0,0.149949341,0.403242148,0.291793313,0.155015198,13,12,0.369,0.237,0.126,0.09,0.322,14,19.51,2109,969,a,363,0.094
1317,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.414,0.073,0.288,0.122,0.522,0.177,0.293,0.114,0.077,0.766,0,0.017,0.117824773,0.304128902,0.313192346,0.264853978,9,14,0.235,0.184,0.116,0.074,0.242,11,15.05,1629,1509,a,206,0.199
1318,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.581,0.032,0.196,0.091,0.471,0.198,0.17,0.062,0.039,0.844,0.028,0.012,0.114228457,0.338677355,0.26753507,0.279559118,15,10,0.318,0.145,0.103,0.087,0.323,11,19.71,2260,1099,a,381,0.158
1319,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.475,0.05,0.206,0.076,0.493,0.301,0.092,0.086,0,0.892,0.018,0,0.092198582,0.373860182,0.338399189,0.195542047,15,7,0.296,0.184,0.075,0.081,0.261,12,23.01,1510,2619,b,265,0.133
1320,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.425,0.108,0.279,0.081,0.539,0.225,0.164,0.009,0.621,0.346,0.005,0.017,0.170318725,0.353585657,0.279880478,0.196215139,12,11,0.405,0.215,0.158,0.135,0.291,13,41.3,3379,2040,b,306,0.111
1321,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.37,0.072,0.266,0.062,0.53,0.268,0.154,0.015,0.516,0.454,0.008,0.006,0.191616766,0.343313373,0.291417166,0.173652695,13,13,0.381,0.285,0.156,0.147,0.335,11,28.73,2100,1999,a,363,0.103
1322,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.506,0.024,0.162,0.076,0.502,0.246,0.243,0.015,0.004,0.959,0.009,0.006,0.130391174,0.323971916,0.280842528,0.264794383,15,15,0.295,0.109,0.092,0.052,0.29,12,51.35,2669,900,b,237,0.177
1323,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.466,0.068,0.163,0.037,0.512,0.226,0.193,0.027,0.096,0.844,0.003,0.006,0.090634441,0.365558912,0.374622356,0.16918429,11,12,0.266,0.286,0.112,0.087,0.268,12,11.59,1790,2229,a,232,0.229
1324,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.36,0.059,0.287,0.097,0.495,0.363,0.068,0.036,0.002,0.231,0.712,0.007,0.1408867,0.403940887,0.321182266,0.133990148,11,7,0.446,0.321,0.139,0.066,0.294,10,51.35,4230,3650,a,210,0.235
1325,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.39,0.061,0.234,0.055,0.506,0.232,0.154,0.021,0.013,0.972,0.006,0.001,0.233894945,0.372646184,0.268582755,0.124876115,12,10,0.329,0.302,0.122,0.087,0.318,13,22.95,2580,2199,a,332,0.101
1326,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.461,0.044,0.151,0.06,0.459,0.213,0.138,0.008,0.071,0.901,0,0.017,0.140159046,0.410536779,0.277335984,0.171968191,10,8,0.311,0.265,0.097,0.076,0.314,13,14.3,4320,1950,a,261,0.176
1327,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.487,0.058,0.151,0.065,0.518,0.208,0.194,0.02,0.041,0.92,0,0.006,0.111445783,0.447791165,0.243975904,0.196787149,10,12,0.277,0.21,0.099,0.095,0.305,14,12.72,1909,2100,b,275,0.11
1328,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.446,0.089,0.145,0.061,0.507,0.164,0.278,0,0.004,0.975,0.006,0.005,0.075247525,0.346534653,0.364356436,0.213861386,7,16,0.294,0.194,0.121,0.066,0.232,11,51.35,3010,1960,b,252,0.298
1329,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.429,0.091,0.209,0.062,0.526,0.241,0.167,0.022,0.195,0.778,0.015,0,0.159521436,0.389830508,0.289132602,0.161515454,12,13,0.365,0.309,0.115,0.106,0.374,14,26.41,3160,1719,b,380,0.102
1330,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.391,0.075,0.221,0.051,0.503,0.192,0.291,0.029,0.008,0.943,0.006,0,0.171198389,0.374622356,0.266868077,0.187311178,10,14,0.261,0.168,0.141,0.09,0.285,14,20.88,3379,1499,a,252,0.043
1331,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.59,0.039,0.18,0.091,0.467,0.203,0.11,0.076,0.002,0.906,0.008,0.012,0.032355915,0.209302326,0.256825076,0.501516684,9,3,0.148,0.085,0.032,0.092,0.109,13,14.26,1060,969,a,155,0.276
1332,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.529,0.023,0.177,0.069,0.499,0.258,0.145,0.141,0.007,0.829,0.02,0.007,0.12209889,0.306760848,0.370332997,0.200807265,15,9,0.298,0.142,0.079,0.064,0.242,11,16.74,2209,2169,b,213,0.232
1333,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.428,0.083,0.31,0.116,0.501,0.248,0.168,0.05,0.09,0.642,0.165,0,0.186423506,0.416413374,0.261398176,0.135764944,15,13,0.358,0.229,0.12,0.078,0.366,11,43.08,3729,2070,b,382,0.092
1334,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Noncore adjacent to a large metro area,Recreation,0.442,0.067,0.176,0.059,0.487,0.218,0.159,0.135,0.078,0.75,0.011,0.017,0.137,0.342,0.294,0.227,10,9,0.298,0.259,0.105,0.097,0.27,12,16.26,2679,2130,b,294,0.204
1335,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.42,0.045,0.135,0.039,0.484,0.224,0.196,0.032,0.03,0.932,0.004,0.003,0.119071645,0.339051463,0.341069627,0.200807265,11,12,0.324,0.161,0.115,0.056,0.27,8,17.59,1219,1449,b,265,0.146
1336,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.543,0.025,0.16,0.104,0.508,0.255,0.21,0.024,0.01,0.957,0.005,0,0.084396467,0.240431796,0.445534838,0.229636899,14,14,0.299,0.191,0.083,0.066,0.338,10,55.08,3250,3150,b,198,0.205
1337,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.334,0.082,0.194,0.063,0.498,0.289,0.065,0.128,0.17,0.608,0.014,0.027,0.080156403,0.294232649,0.417399804,0.208211144,29,5,0.295,0.258,0.086,0.082,0.265,9,14.04,989,2069,b,263,0.153
1338,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.473,0.048,0.192,0.091,0.491,0.303,0.111,0.099,0.007,0.871,0.016,0.009,0.096579477,0.363179074,0.347082495,0.193158954,15,6,0.291,0.179,0.09,0.09,0.244,12,17.97,1499,2099,a,266,0.135
1339,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.477,0.048,0.175,0.07,0.515,0.222,0.178,0.01,0.014,0.957,0,0.006,0.124007937,0.452380952,0.231150794,0.192460317,10,11,0.303,0.199,0.129,0.079,0.261,14,19.2,2400,1529,b,270,0.108
1340,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.482,0.05,0.255,0.121,0.5,0.273,0.15,0.366,0.009,0.609,0.014,0.005,0.189378758,0.276553106,0.403807615,0.130260521,14,9,0.262,0.195,0.073,0.082,0.224,13,19.31,1750,2469,a,230,0.11
1341,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.523,0.033,0.281,0.095,0.477,0.313,0.093,0.519,0.021,0.43,0.022,0.016,0.306387226,0.231536926,0.281437126,0.180638723,19,7,0.334,0.166,0.099,0.07,0.289,12,23.68,2530,1720,b,263,0.147
1342,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.465,0.034,0.145,0.075,0.436,0.188,0.191,0.061,0.058,0.868,0.015,0.004,0.104522613,0.32361809,0.359798995,0.212060302,9,11,0.336,0.125,0.107,0.06,0.298,11,51.35,3190,2159,a,273,0.138
1343,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.474,0.053,0.205,0.074,0.501,0.266,0.099,0.038,0.133,0.804,0,0.017,0.147233202,0.378458498,0.303359684,0.170948617,13,7,0.328,0.173,0.104,0.091,0.257,13,20.09,9069,4440,a,291,0.154
1344,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.569,0.043,0.198,0.111,0.467,0.162,0.15,0.055,0.004,0.901,0.008,0.01,0.041501976,0.252964427,0.409090909,0.296442688,7,6,0.2,0.157,0.056,0.106,0.17,12,17.5,8059,4000,a,155,0.213
1345,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.388,0.075,0.21,0.052,0.504,0.221,0.178,0.015,0.068,0.902,0.012,0.001,0.208416834,0.365731463,0.309619238,0.116232465,12,15,0.363,0.283,0.153,0.109,0.383,12,37.03,2580,2150,b,359,0.078
1346,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.377,0.069,0.261,0.23,0.461,0.238,0.19,0.056,0.021,0.88,0.012,0.017,0.099800399,0.321357285,0.374251497,0.204590818,7,9,0.276,0.148,0.09,0.086,0.227,13,45.65,5659,2649,b,296,0.15
1347,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.459,0.035,0.177,0.094,0.505,0.251,0.12,0.161,0.052,0.706,0.017,0.03,0.06027668,0.213438735,0.369565217,0.356719368,14,6,0.219,0.182,0.069,0.095,0.167,13,9.19,1030,1759,a,218,0.15
1348,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.538,0.059,0.125,0.043,0.505,0.219,0.134,0.067,0.033,0.883,0.011,0.014,0.065722952,0.311425683,0.283114257,0.339737108,8,8,0.259,0.178,0.08,0.072,0.232,11,8.52,1490,1809,b,257,0.18
1349,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.503,0.06,0.173,0.053,0.52,0.24,0.138,0.157,0.187,0.582,0.008,0.051,0.12012012,0.312312312,0.265265265,0.302302302,12,9,0.279,0.19,0.094,0.082,0.26,12,8.12,1369,979,a,272,0.167
1350,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.479,0.054,0.125,0.049,0.486,0.197,0.168,0.029,0.043,0.917,0.008,0.008,0.121334681,0.347826087,0.321536906,0.209302326,10,9,0.285,0.279,0.105,0.074,0.222,12,11.47,2399,3449,a,259,0.223
1351,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.559,0.042,0.135,0.076,0.483,0.251,0.166,0.028,0,0.956,0.005,0.005,0.086956522,0.380434783,0.342885375,0.18972332,12,10,0.295,0.217,0.129,0.059,0.243,13,16.54,3900,1929,b,204,0.232
1352,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.432,0.076,0.186,0.04,0.516,0.176,0.208,0.006,0.011,0.96,0.007,0.003,0.090277778,0.439484127,0.283730159,0.186507937,8,13,0.345,0.267,0.146,0.085,0.362,14,10.67,5930,3969,a,291,0.14
1353,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.477,0.051,0.117,0.06,0.496,0.262,0.08,0.094,0.165,0.68,0.009,0.031,0.06231454,0.244312562,0.326409496,0.366963403,12,5,0.313,0.17,0.072,0.068,0.207,13,9.19,3000,2999,b,210,0.147
1354,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.511,0.055,0.176,0.063,0.506,0.248,0.158,0.011,0.013,0.952,0,0.018,0.119477912,0.5,0.228915663,0.151606426,12,11,0.291,0.222,0.124,0.079,0.34,13,23.81,3059,1749,b,299,0.168
1355,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.522,0.041,0.211,0.101,0.506,0.241,0.118,0.186,0.099,0.632,0.009,0.055,0.075396825,0.209325397,0.317460317,0.39781746,13,6,0.221,0.157,0.061,0.091,0.16,13,6.08,1060,1230,a,210,0.172
1356,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.548,0.038,0.086,0.023,0.508,0.242,0.136,0.02,0.008,0.952,0,0.003,0.042253521,0.315895372,0.357142857,0.284708249,11,8,0.285,0.137,0.091,0.069,0.278,10,12.11,3149,1670,a,217,0.212
