,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,health__pct_excessive_drinking,heart_disease_mortality_per_100k
1580,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Manufacturing-dependent,0.516,0.046,0.176,0.074,0.518,0.228,0.187,0.033,0.019,0.923,0.015,0.005,0.093532338,0.338308458,0.386069652,0.182089552,12,13,0.34,0.195,0.099,0.068,0.275,8,33.03,1869,2659,a,0.164,294.0170593
1581,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.384,0.049,0.301,0.172,0.475,0.305,0.117,0.587,0.019,0.398,0.024,0.008,0.289023162,0.314199396,0.290030211,0.106747231,18,6,0.32,0.408,0.09,0.095,0.249,10,46.76,3799,2439,a,0.09,355.657959
1582,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.477,0.065,0.205,0.077,0.51,0.185,0.212,0.087,0.003,0.867,0.012,0.014,0.053838485,0.200398804,0.401794616,0.343968096,9,10,0.183,0.134,0.074,0.064,0.133,9,15.34,1249,1359,b,0.192,196.6787415
1587,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.626,0.035,0.102,0.046,0.505,0.234,0.176,0.023,0.002,0.968,0.008,0,0.063555114,0.376365442,0.343594836,0.216484608,12,11,0.298,0.117,0.092,0.058,0.301,11,13.13,3290,1630,b,0.146,236.9211578
1588,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.479,0.054,0.197,0.067,0.508,0.213,0.197,0.012,0.015,0.955,0.003,0.006,0.164506481,0.400797607,0.283150548,0.151545364,10,14,0.319,0.231,0.122,0.086,0.261,13,15.86,2840,1549,b,0.143,320.3647766
1589,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.483,0.058,0.177,0.079,0.499,0.233,0.15,0.003,0.013,0.959,0.008,0.005,0.112103175,0.500992063,0.25297619,0.133928571,13,10,0.315,0.302,0.107,0.081,0.291,14,16.36,6750,3199,b,0.089,343.2910767
1590,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.377,0.05,0.326,0.147,0.384,0.189,0.133,0.153,0.201,0.6,0.004,0.011,0.211100099,0.369672944,0.308225966,0.111000991,10,12,0.337,0.214,0.101,0.095,0.296,9,28.27,5180,2330,b,0.171,343.68927
1591,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.407,0.07,0.238,0.056,0.482,0.188,0.189,0,0.019,0.969,0,0.005,0.161161161,0.466466466,0.186186186,0.186186186,11,12,0.324,0.248,0.128,0.086,0.341,13,17.68,2870,1170,b,0.126,325.0361023
1592,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.473,0.048,0.242,0.06,0.526,0.237,0.174,0.018,0.235,0.726,0,0.001,0.199600798,0.453093812,0.208582834,0.138722555,12,12,0.377,0.332,0.125,0.109,0.365,12,30.7,1749,2210,a,0.184,354.0483093
1594,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.05,0.09,0.055,0.482,0.246,0.139,0.023,0.011,0.933,0.006,0.005,0.063063063,0.339339339,0.374374374,0.223223223,10,8,0.28,0.26,0.084,0.071,0.229,12,11.3,2240,1779,a,0.201,202.294693
1595,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.425,0.072,0.261,0.076,0.507,0.27,0.139,0.113,0.08,0.781,0.02,0.009,0.205465587,0.410931174,0.244939271,0.138663968,13,9,0.355,0.242,0.128,0.086,0.329,14,23.77,3840,3030,b,0.101,353.0680847
1598,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.424,0.097,0.281,0.065,0.51,0.228,0.169,0.007,0.529,0.444,0.007,0.003,0.198609732,0.463753724,0.236345581,0.101290963,11,9,0.393,0.214,0.169,0.09,0.343,11,29.62,10869,3689,a,0.169,316.9376831
1599,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.539,0.044,0.118,0.044,0.512,0.298,0.068,0.126,0.073,0.623,0.003,0.147,0.067067067,0.131131131,0.211211211,0.590590591,14,3,0.229,0.093,0.079,0.06,0.214,13,6.36,1660,1399,b,0.136,172.3903351
1600,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.545,0.026,0.134,0.072,0.481,0.232,0.198,0.029,0.003,0.928,0,0.011,0.049445005,0.346115035,0.411705348,0.192734612,10,8,0.326,0.48,0.098,0.067,0.257,13,51.35,709,2020,a,0.186,215.0345917
1601,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.523,0.043,0.277,0.134,0.504,0.276,0.15,0.342,0.031,0.606,0.011,0.005,0.194690265,0.320550639,0.344149459,0.140609636,15,8,0.282,0.15,0.069,0.067,0.216,14,14.39,1609,2010,b,0.105,217.1057587
1603,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.537,0.038,0.087,0.052,0.5,0.273,0.1,0.03,0.02,0.929,0.003,0.008,0.066933067,0.261738262,0.404595405,0.266733267,13,5,0.294,0.239,0.067,0.056,0.219,13,10.61,2369,2119,a,0.194,186.8776703
1604,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.547,0.033,0.163,0.072,0.49,0.226,0.215,0.019,0.006,0.952,0,0.001,0.089808274,0.381432896,0.317860747,0.210898083,14,12,0.32,0.114,0.089,0.052,0.296,12,33.11,2529,2609,a,0.257,251.6811676
1605,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.572,0.042,0.143,0.058,0.525,0.206,0.234,0.01,0.008,0.97,0.005,0.009,0.097683787,0.432024169,0.332326284,0.13796576,13,11,0.323,0.234,0.114,0.074,0.25,10,55.08,5869,2949,a,0.126,219.9073029
1606,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.405,0.07,0.319,0.094,0.497,0.233,0.172,0.034,0.399,0.546,0.002,0.004,0.262068966,0.360591133,0.254187192,0.123152709,15,15,0.329,0.197,0.137,0.148,0.354,12,31.42,4400,2210,b,0.123,365.7481995
1607,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.455,0.062,0.202,0.046,0.474,0.199,0.097,0.069,0.411,0.445,0.007,0.043,0.12890625,0.271484375,0.338867187,0.260742188,15,8,0.349,0.269,0.103,0.11,0.243,12,6.48,1330,1180,a,0.143,308.8739319
1608,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.474,0.06,0.271,0.095,0.507,0.237,0.155,0.107,0.061,0.808,0.006,0.013,0.201395813,0.345962114,0.306081755,0.146560319,11,10,0.292,0.227,0.101,0.078,0.289,12,19.26,3779,2089,b,0.136,268.7965698
1609,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.622,0.034,0.131,0.047,0.512,0.227,0.199,0.024,0.005,0.942,0,0,0.08008008,0.36036036,0.376376376,0.183183183,12,12,0.284,0.234,0.102,0.095,0.285,11,22.84,3040,1520,a,0.16,259.9187317
1610,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.5,0.042,0.192,0.039,0.499,0.225,0.134,0.057,0.063,0.851,0,0.022,0.115612648,0.328063241,0.2756917,0.280632411,11,8,0.31,0.247,0.12,0.087,0.285,13,17.71,3440,2009,a,0.084,268.4598389
1611,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.435,0.06,0.229,0.12,0.486,0.199,0.198,0.032,0,0.915,0.008,0.002,0.072477963,0.277179236,0.400587659,0.249755142,6,6,0.252,0.208,0.103,0.076,0.207,9,24.26,709,3410,a,0.22,186.1381073
1614,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.418,0.048,0.241,0.081,0.51,0.24,0.163,0.017,0.003,0.966,0,0.006,0.227272727,0.354545455,0.277777778,0.14040404,13,10,0.346,0.303,0.118,0.102,0.284,14,27.2,5099,6710,b,0.143,327.6533508
1616,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Recreation,0.478,0.04,0.244,0.104,0.517,0.137,0.277,0.055,0.009,0.894,0.015,0.01,0.043564356,0.174257426,0.318811881,0.463366337,6,9,0.176,0.138,0.066,0.044,0.125,12,10.05,1319,1049,a,0.195,137.678833
1617,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.527,0.064,0.275,0.074,0.5,0.194,0.109,0.426,0.116,0.305,0.015,0.149,0.171686747,0.268072289,0.195783133,0.364457831,15,6,0.246,0.155,0.075,0.085,0.265,11,3.93,1769,1879,b,0.154,237.9227753
1618,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.419,0.075,0.231,0.053,0.508,0.199,0.185,0.014,0.008,0.96,0,0.002,0.192079208,0.386138614,0.257425743,0.164356436,10,12,0.305,0.307,0.14,0.102,0.326,13,17.83,3669,3569,b,0.15,308.5505371
1619,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Farm-dependent,0.503,0.067,0.233,0.112,0.508,0.242,0.187,0.03,0.006,0.955,0.005,0.001,0.143718593,0.436180905,0.297487437,0.122613065,12,12,0.343,0.26,0.106,0.072,0.304,9,20.1,8270,4170,a,0.158,314.8144226
1620,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.27,0.094,0.205,0.065,0.449,0.207,0.124,0.029,0.066,0.882,0.005,0,0.277060576,0.389275074,0.269116187,0.064548163,10,10,0.385,0.375,0.125,0.151,0.377,13,24.97,7199,4250,b,0.133,410.583252
1621,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.423,0.04,0.272,0.123,0.503,0.229,0.187,0.219,0.031,0.733,0.011,0.012,0.139393939,0.381818182,0.291919192,0.186868687,11,12,0.313,0.26,0.1,0.09,0.283,10,16.48,2689,1800,a,0.204,326.8077087
1622,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.411,0.041,0.314,0.124,0.524,0.216,0.168,0.049,0.017,0.732,0.135,0,0.160358566,0.337649402,0.289840637,0.212151394,13,11,0.331,0.257,0.12,0.078,0.277,10,22.58,2940,2410,a,0.147,320.6213684
1623,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.42,0.111,0.287,0.065,0.514,0.246,0.158,0.006,0.472,0.495,0,0.01,0.207198444,0.43385214,0.224708171,0.134241245,14,14,0.388,0.225,0.154,0.122,0.38,12,25.83,2569,2760,b,0.275,355.8462524
1626,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.373,0.071,0.202,0.074,0.46,0.175,0.179,0.011,0.057,0.908,0.003,0.007,0.231527094,0.439408867,0.239408867,0.089655172,8,12,0.335,0.232,0.11,0.067,0.342,14,21,16929,2420,a,0.327,347.1029358
1628,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.55,0.051,0.155,0.06,0.501,0.246,0.147,0.03,0.02,0.918,0.002,0.001,0.072781655,0.356929212,0.353938185,0.216350947,13,9,0.338,0.22,0.131,0.074,0.295,8,19.44,3670,2149,a,0.193,266.0927429
1629,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.457,0.052,0.143,0.054,0.492,0.199,0.238,0.017,0.021,0.951,0.012,0.001,0.080629302,0.371681416,0.368731563,0.178957719,11,15,0.309,0.221,0.112,0.077,0.275,11,26.2,2129,1199,b,0.208,250.306015
1630,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.372,0.086,0.238,0.096,0.475,0.226,0.183,0.019,0.036,0.912,0.002,0.003,0.176762661,0.435948361,0.256206554,0.131082423,12,12,0.333,0.305,0.098,0.067,0.362,10,35.94,6910,2160,b,0.133,309.2445068
1632,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.356,0.044,0.295,0.093,0.489,0.349,0.103,0.046,0.009,0.308,0.651,0.005,0.176823177,0.337662338,0.317682318,0.167832168,20,8,0.39,0.321,0.157,0.061,0.308,10,83.68,4209,5579,a,0.151,310.5248718
1633,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.505,0.045,0.146,0.061,0.514,0.237,0.187,0.036,0.018,0.948,0.003,0.009,0.089552239,0.48159204,0.272636816,0.156218905,12,11,0.363,0.176,0.121,0.066,0.305,13,10.37,3549,2609,a,0.163,263.1868591
1635,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.519,0.051,0.173,0.071,0.516,0.248,0.151,0.111,0.09,0.75,0.008,0.01,0.098311817,0.311817279,0.305858987,0.284011917,13,10,0.325,0.194,0.108,0.072,0.241,8,9,1759,1339,b,0.175,265.4503479
1636,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.642,0.042,0.306,0.108,0.509,0.302,0.147,0.857,0.018,0.125,0.014,0.004,0.315429688,0.295898438,0.268554688,0.120117188,16,9,0.308,0.48,0.112,0.072,0.267,9,31.4,5439,2089,a,0.153,292.1434937
1637,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.443,0.091,0.203,0.052,0.513,0.24,0.156,0.017,0.073,0.876,0,0,0.214717742,0.401209677,0.264112903,0.119959677,12,11,0.364,0.257,0.109,0.111,0.335,14,29.93,3530,3099,b,0.105,396.6316528
1638,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.412,0.081,0.289,0.107,0.513,0.233,0.189,0.055,0.295,0.638,0.003,0.007,0.231237323,0.45841785,0.207910751,0.102434077,11,14,0.355,0.181,0.144,0.099,0.316,13,29.28,3319,1980,b,0.254,353.5913086
1639,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.568,0.034,0.155,0.052,0.511,0.214,0.142,0.262,0.028,0.406,0.015,0.277,0.11817279,0.15590864,0.272095333,0.453823237,12,7,0.209,0.097,0.07,0.071,0.164,8,4.43,1030,1019,a,0.067,182.662323
1642,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.543,0.059,0.142,0.062,0.495,0.227,0.199,0.037,0.017,0.944,0.006,0,0.121393035,0.418905473,0.291542289,0.168159204,10,11,0.296,0.184,0.1,0.045,0.273,12,17.17,2749,899,b,0.198,259.2817688
1643,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.459,0.087,0.212,0.05,0.527,0.24,0.176,0.015,0.426,0.544,0.006,0.004,0.227364185,0.373239437,0.250503018,0.14889336,12,14,0.384,0.302,0.165,0.102,0.37,13,28.73,3440,2949,b,0.176,373.4727478
1645,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.543,0.046,0.141,0.096,0.506,0.222,0.257,0.019,0.007,0.92,0.041,0,0.100101112,0.350859454,0.369059656,0.179979778,9,12,0.304,0.416,0.098,0.044,0.273,12,44.1,3439,3449,a,0.213,240.3641968
1647,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.525,0.051,0.179,0.078,0.507,0.213,0.188,0.026,0.014,0.96,0,0.003,0.108782435,0.411177645,0.283433134,0.196606786,11,11,0.315,0.261,0.121,0.079,0.328,13,11.32,1980,1970,b,0.128,272.9384766
1648,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.547,0.031,0.157,0.101,0.464,0.184,0.171,0,0.003,0.981,0.004,0.013,0.094704684,0.347250509,0.305498982,0.252545825,16,2,0.312,0.425,0.085,0.086,0.302,10,55.08,4230,5579,b,0.132,145.4447632
1649,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.516,0.04,0.379,0.237,0.511,0.204,0.246,0.107,0,0.881,0.009,0.01,0.139581256,0.310069791,0.328015952,0.222333001,9,12,0.291,0.376,0.118,0.076,0.301,10,42.71,709,1599,b,0.107,258.3200989
1651,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.497,0.081,0.241,0.042,0.517,0.221,0.134,0.251,0.239,0.448,0.003,0.065,0.149390244,0.234756098,0.25101626,0.364837398,13,7,0.271,0.19,0.096,0.092,0.224,13,6.46,1300,1080,b,0.24,255.9736481
1652,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.471,0.057,0.246,0.076,0.497,0.22,0.17,0.047,0.038,0.886,0,0.011,0.187250996,0.369521912,0.304780876,0.138446215,10,11,0.313,0.235,0.13,0.092,0.314,13,16.57,3449,2810,a,0.188,271.8310242
1653,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.413,0.056,0.289,0.124,0.506,0.239,0.188,0.199,0.028,0.74,0.006,0,0.143286573,0.379759519,0.30260521,0.174348697,12,13,0.331,0.255,0.109,0.085,0.296,10,19.59,2810,1730,b,0.192,336.5201721
1654,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.493,0.063,0.164,0.072,0.506,0.205,0.207,0.008,0.009,0.965,0.004,0.003,0.136182903,0.502982107,0.222664016,0.138170974,9,11,0.343,0.228,0.131,0.059,0.295,13,22.67,2039,3079,a,0.331,279.5472107
1657,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.415,0.061,0.261,0.087,0.499,0.232,0.161,0.036,0.289,0.642,0.005,0.006,0.180808081,0.41010101,0.277777778,0.131313131,14,13,0.347,0.221,0.137,0.096,0.3,12,19.61,2230,1150,a,0.179,355.3338318
1658,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.452,0.075,0.239,0.051,0.521,0.251,0.149,0.029,0.354,0.592,0.012,0.022,0.139581256,0.334995015,0.309072782,0.216350947,14,10,0.35,0.226,0.122,0.118,0.3,13,22.45,2169,1629,b,0.15,332.3587952
1659,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.568,0.023,0.158,0.072,0.5,0.234,0.213,0.012,0,0.959,0,0.018,0.109218437,0.332665331,0.320641283,0.23747495,11,7,0.359,0.125,0.09,0.066,0.29,10,110.45,5020,3150,b,0.125,243.6838226
1660,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.371,0.07,0.283,0.15,0.5,0.322,0.109,0.048,0.005,0.443,0.487,0.007,0.164705882,0.314705882,0.326470588,0.194117647,16,9,0.284,0.091,0.086,0.058,0.301,9,40.49,1170,1849,b,0.181,198.40271
1661,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.444,0.057,0.201,0.077,0.499,0.226,0.173,0.037,0.088,0.863,0,0.001,0.134061569,0.384309831,0.301886792,0.179741807,11,11,0.361,0.28,0.122,0.09,0.299,14,11.3,2129,2060,a,0.14,285.1703796
1662,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.423,0.055,0.234,0.051,0.486,0.254,0.139,0.026,0.128,0.783,0.005,0.008,0.160873883,0.42204568,0.257199603,0.159880834,14,10,0.345,0.259,0.132,0.091,0.323,10,27.91,5160,2010,a,0.126,365.9831848
1664,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.428,0.073,0.206,0.04,0.508,0.185,0.197,0,0.006,0.967,0.002,0.008,0.098328417,0.432645034,0.285152409,0.18387414,8,13,0.341,0.263,0.17,0.081,0.359,14,10.14,4940,3969,b,0.17,303.2319336
1665,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.54,0.051,0.116,0.067,0.494,0.229,0.217,0.027,0.013,0.94,0.013,0.004,0.084168337,0.309619238,0.366733467,0.239478958,12,12,0.281,0.171,0.088,0.054,0.241,12,13.9,1820,1730,b,0.173,220.6088562
1666,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Nonspecialized,0.376,0.081,0.258,0.098,0.514,0.249,0.166,0.013,0.341,0.643,0,0.008,0.172,0.374,0.271,0.183,9,15,0.408,0.264,0.137,0.138,0.377,11,32.38,7979,1999,b,0.126,395.9581909
1667,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.364,0.102,0.253,0.045,0.539,0.276,0.153,0.016,0.628,0.351,0.005,0,0.244444444,0.313131313,0.333333333,0.109090909,16,13,0.381,0.251,0.163,0.14,0.372,12,33.31,3000,3059,b,0.052,421.2237549
1668,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.429,0.073,0.231,0.07,0.511,0.225,0.163,0.047,0.054,0.887,0.011,0.008,0.233766234,0.317682318,0.312687313,0.135864136,10,11,0.285,0.226,0.119,0.084,0.278,13,17.53,3600,2279,b,0.146,283.1430969
1670,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.438,0.055,0.271,0.115,0.499,0.266,0.14,0.014,0.005,0.95,0.011,0.01,0.146560319,0.39780658,0.296111665,0.159521436,15,8,0.321,0.17,0.111,0.072,0.266,10,18.94,4129,3029,b,0.134,305.3668823
1672,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.404,0.058,0.226,0.035,0.478,0.193,0.199,0.011,0.008,0.962,0.004,0.003,0.153450051,0.475798146,0.178166838,0.192584964,11,13,0.348,0.245,0.124,0.085,0.285,13,11.68,2669,1130,a,0.213,320.7934265
1673,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Federal/State government-dependent,0.431,0.084,0.213,0.066,0.505,0.23,0.131,0.041,0.376,0.549,0.005,0.021,0.159919028,0.299595142,0.340080972,0.200404858,13,10,0.325,0.346,0.126,0.099,0.289,12,12,2889,1840,b,0.236,301.8144531
1674,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.463,0.055,0.104,0.042,0.518,0.224,0.176,0.029,0.004,0.932,0.011,0.024,0.077309237,0.389558233,0.338353414,0.194779116,11,12,0.296,0.179,0.101,0.061,0.205,12,11.3,1229,530,a,0.135,234.0843964
1676,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.352,0.078,0.258,0.057,0.505,0.218,0.18,0.021,0.019,0.94,0,0,0.292828685,0.361553785,0.239043825,0.106573705,11,12,0.319,0.294,0.12,0.074,0.364,13,23.08,3440,1599,a,0.118,318.2205811
1677,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Nonspecialized,0.365,0.118,0.233,0.076,0.518,0.199,0.162,0.015,0.606,0.358,0.009,0.004,0.235707121,0.253761284,0.328986961,0.181544634,10,10,0.424,0.169,0.162,0.131,0.341,12,38.68,2830,2659,b,0.213,318.2964478
1678,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.547,0.024,0.197,0.083,0.474,0.224,0.172,0.034,0.004,0.933,0.014,0.003,0.122244489,0.327655311,0.376753507,0.173346693,10,10,0.312,0.207,0.081,0.086,0.279,11,20.58,3689,1770,b,0.154,239.0283203
1679,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.383,0.11,0.239,0.142,0.501,0.28,0.139,0.107,0.01,0.435,0.444,0.009,0.182720953,0.296921549,0.371400199,0.148957299,14,8,0.313,0.163,0.116,0.077,0.255,10,43.33,1670,1569,b,0.084,226.0025787
